 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------- ------------- -------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      729.0000      187.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.962623E-19  2.680021E-19      0.7323165      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.099619E-19
  2      729.0000      188.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   2.283151E-19  2.776407E-19      0.8223403      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.545181E-20
  3      729.0000      189.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   9.727571E-20  2.707881E-19      0.3592319      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.071805E-19
  4      729.0000      190.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   2.021813E-19  2.521828E-19      0.8017252      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.225576E-20
  5      729.0000      191.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   5.785771E-20  2.614285E-19      0.2213137      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.225435E-19
  6      729.0000      192.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -8.610894E-20  2.771212E-19     -0.3107267      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.253286E-19
  7      729.0000      193.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   8.233543E-20  2.544191E-19      0.3236213      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.203648E-20
  8      729.0000      194.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   8.782115E-20  2.749072E-19      0.3194574      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.145875E-19
  9      729.0000      195.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -2.606838E-19  2.843988E-19     -0.9166137      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.208951E-19
 10      729.0000      196.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -7.433185E-20  2.722600E-19     -0.2730179      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.258891E-19
 11      729.0000      197.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -7.252627E-20  2.782178E-19     -0.2606817      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.284596E-19
 12      729.0000      198.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -9.550998E-20  2.727751E-19     -0.3501419      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.182881E-19
 13      729.0000      199.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -6.286240E-21  2.919382E-19    -0.02153278      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.064819E-19
 14      729.0000      200.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   4.912050E-20  2.858396E-19      0.1718464      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.235848E-19
 15      729.0000      201.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   4.029131E-20  2.706183E-19      0.1488862      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.040056E-19
 16      729.0000      202.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.303456E-20  2.826349E-19    -0.04611800      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.148907E-19
 17      729.0000      203.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   2.603802E-20  2.744898E-19     0.09485967      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.392825E-20
 18      729.0000      204.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.001486E-19  2.745865E-19     -0.3647251      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.105376E-19
 19      729.0000      205.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   4.581127E-19  2.819699E-19       1.624687      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.764889E-20
 20      729.0000      206.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -7.458316E-20  2.784575E-19     -0.2678440      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.251480E-19
 21      729.0000      207.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -2.511839E-19  2.815820E-19     -0.8920451      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.325421E-19
 22      729.0000      208.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.278676E-19  2.660064E-19     -0.4806938      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.081447E-19
 23      729.0000      209.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.372874E-19  2.826594E-19     -0.4856991      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.271878E-20
 24      729.0000      210.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.136679E-19  2.813166E-19      0.4040567      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.200047E-19
 25      729.0000      211.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.280389E-19  2.807639E-19      0.4560377      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.158153E-19
 26      729.0000      212.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.781506E-20  2.627402E-19    -0.06780484      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.297658E-20
 27      729.0000      213.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -9.181150E-21  2.659939E-19    -0.03451640      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.718781E-20
 28      729.0000      214.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   2.408294E-20  2.791876E-19     0.08626076      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.189584E-19
 29      729.0000      215.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   2.040705E-23  2.693160E-19   7.577362E-05      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.068036E-20
 30      729.0000      216.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -2.846323E-19  2.798605E-19      -1.017051      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.163663E-19
 31      729.0000      217.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -8.460943E-20  2.642263E-19     -0.3202158      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.063036E-19
 32      729.0000      218.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.173926E-20  2.570995E-19    -0.04566040      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.864547E-20
 33      729.0000      219.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   4.381582E-20  2.730309E-19      0.1604794      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.220087E-19
 34      729.0000      220.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.440689E-19  2.806285E-19      0.5133794      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.269690E-19
 35      729.0000      221.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   5.685266E-20  2.748297E-19      0.2068651      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.049666E-19
 36      729.0000      222.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -2.187033E-19  2.797703E-19     -0.7817246      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.243694E-19
 37      729.0000      223.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.166148E-20  2.835604E-19     0.04112520      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.167534E-19
 38      729.0000      224.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.092992E-19  2.698418E-19      0.4050493      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.455705E-20
 39      729.0000      225.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -6.913776E-21  2.811198E-19    -0.02459370      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.361181E-20
 40      729.0000      226.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.074216E-21  2.710710E-19   -0.003962860      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.631206E-20
 41      729.0000      227.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000  -1.059963E-19  2.524596E-19     -0.4198544      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.882148E-20
