AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
-- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------- ------------- -------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
 1      714.0000      117.1910      5.000000      175.0000      3251.479      9.228606      1.674639   0.007591374  -1.739734E-18  2.081578E-18     -0.8357766      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.545236E-19
 2      714.0000      122.1910      5.000000      174.0000      3249.960      4.400711      1.673390   0.003619988  -2.063037E-18  2.096514E-18     -0.9840321      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.326600E-19
 3      714.0000      127.1910      5.000000      173.0000      3248.130      5.220262      1.671885   0.004294144  -3.105716E-18  2.144504E-18      -1.448221      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.008579E-18
 4      714.0000      132.1910      5.000000      174.0000      3249.930      4.829270      1.673365   0.003972517  -2.921490E-18  2.787742E-18      -1.047977      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.031444E-18
 5      714.0000      137.1910      5.000000      174.0000      3250.117      6.877009      1.673519   0.005656970  -3.251789E-18  2.081293E-18      -1.562389      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.025859E-18
 6      714.0000      142.1910      5.000000      173.0000      3248.218      12.67891      1.671957    0.01042957   1.204297E-18  1.954601E-18      0.6161343      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.459691E-19
 7      714.0000      147.1910      5.000000      172.0000      3246.438      13.72157      1.670493    0.01128725   1.319736E-18  2.226223E-18      0.5928140      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.814181E-19
 8      714.0000      152.1910      5.000000      171.0000      3245.415      7.731184      1.669651   0.006359607   1.526806E-18  2.181808E-18      0.6997895      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.315863E-19
 9      714.0000      157.1910      5.000000      173.0000      3248.170      2.618357      1.671918   0.002153838   4.403008E-18  2.200062E-18       2.001311      2.596939      1.309978      3246.961      5.094359      11.78824      8.949273  8.721815E-19
10      714.0000      162.1910      5.000000      172.0000      3246.557      2.236633      1.670591   0.001839835   4.972265E-18  1.983031E-18       2.507407      2.934150      1.187641      3247.077      1.095222      8.138255      2.564252  8.046166E-19
11      714.0000      167.1910      5.000000      172.0000      3245.633      2.292867      1.669831   0.001886093   8.238814E-18  2.129995E-18       3.867997      4.863136      1.301442      3246.708     0.9778253      9.455274      2.063866  1.081084E-18
12      714.0000      172.1910      5.000000      172.0000      3246.257      1.071374      1.670344  0.0008813035   1.668462E-17  2.150893E-18       7.757064      9.846559      1.440342      3246.670     0.6084193      10.86848      1.496830  8.424808E-19
13      714.0000      177.1910      5.000000      172.0000      3246.495     0.9277893      1.670540  0.0007631917   2.077714E-17  2.115939E-18       9.819344      12.26089      1.509125      3246.052     0.3631700      9.301697     0.8096428  9.358742E-19
14      714.0000      182.1910      5.000000      173.0000      3247.724     0.7195836      1.671551  0.0005919234   2.302571E-17  1.869721E-18       12.31505      13.58267      1.448458      3246.928     0.3852110      11.47738     0.9628195  8.144041E-19
15      714.0000      187.1910      5.000000      173.0000      3249.301     0.6202641      1.672848  0.0005102240   2.667519E-17  1.992157E-18       13.39011      15.72783      1.600521      3248.751     0.3449484      11.95196     0.8625949  9.480486E-19
16      714.0000      192.1910      5.000000      173.0000      3249.283     0.9072844      1.672833  0.0007463245   2.711511E-17  2.217449E-18       12.22807      15.98729      1.711930      3249.258     0.3882665      11.80737     0.9864879  9.720821E-19
17      714.0000      197.1910      5.000000      174.0000      3250.314     0.7154766      1.673681  0.0005885451   2.873361E-17  2.251959E-18       12.75938      16.93620      1.769884      3249.837     0.3384748      11.51431     0.7621663  9.551288E-19
