 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      729.0000      257.7520      1.000000      192.0000      3247.197      1.156250      1.671117  0.0009511216  1.255226E-17  1.501162E-18      8.361697      7.405671      1.022973      3246.382     0.6838539      12.65447      1.943195  5.926077E-19
  2      729.0000      257.7520      3.000000      192.0000      3247.306     0.7638465      1.671207  0.0006283337  2.461915E-17  2.487355E-18      9.897725      14.52449      1.778060      3246.303     0.4488375      12.32997      1.320662  1.195720E-18
  3      729.0000      257.7520      5.000000      192.0000      3247.484     0.7354202      1.671353  0.0006049505  3.494589E-17  3.159825E-18      11.05944      20.61580      2.346428      3246.304     0.5008721      12.64572      1.124849  1.366235E-18
  4      729.0000      257.7520      7.000000      192.0000      3247.476     0.7367469      1.671347  0.0006060418  4.309726E-17  3.396734E-18      12.68785      25.42464      2.665387      3246.259     0.4069811      12.71432     0.9871387  1.578948E-18
  5      729.0000      257.7520      9.000000      192.0000      3247.333     0.6249519      1.671229  0.0005140802  5.648187E-17  3.972537E-18      14.21808      33.32218      3.286110      3246.096     0.4046282      13.22597      1.060291  1.857566E-18
  6      729.0000      257.7520      11.00000      192.0000      3247.332     0.5432204      1.671228  0.0004468485  6.514003E-17  4.391640E-18      14.83273      38.43018      3.710790      3246.067     0.3776514      13.42984     0.9441755  1.937995E-18
  7      729.0000      257.7520      13.00000      192.0000      3247.216     0.5136797      1.671132  0.0004225486  7.707994E-17  4.640110E-18      16.61166      45.47591      4.168513      3245.954     0.3788459      13.56363     0.8822075  2.076227E-18
  8      729.0000      257.7520      15.00000      192.0000      3247.261     0.5097663      1.671170  0.0004193295  8.114944E-17  5.045981E-18      16.08200      47.87618      4.451445      3245.937     0.3656866      13.21974     0.9814956  2.132249E-18
  9      729.0000      257.7520      17.00000      192.0000      3247.132     0.4152525      1.671064  0.0003415832  8.814585E-17  4.933066E-18      17.86837      52.00595      4.625462      3245.913     0.3489982      13.37730     0.8870060  2.252519E-18
 10      729.0000      257.7520      19.00000      191.0000      3246.949     0.4989188      1.670913  0.0004104064  9.777728E-17  5.725473E-18      17.07759      57.69174      5.226528      3245.783     0.3928736      13.21418     0.8214573  2.402496E-18
 11      729.0000      257.7520      21.00000      192.0000      3247.220     0.5338016      1.671136  0.0004391007  1.014745E-16  6.228656E-18      16.29156      59.86823      5.534535      3245.799     0.3789489      13.08728     0.9164737  2.401980E-18
 12      729.0000      257.7520      23.00000      192.0000      3247.166     0.4440332      1.671092  0.0003652580  1.067217E-16  6.110519E-18      17.46525      62.96504      5.651707      3245.788     0.3324607      13.20731     0.8775368  2.511480E-18
 13      729.0000      257.7520      25.00000      192.0000      3247.060     0.6527089      1.671005  0.0005369129  1.218204E-16  7.397192E-18      16.46847      71.87551      6.613179      3245.713     0.3850677      13.51007     0.9535380  2.970889E-18
 14      729.0000      257.7520      27.00000      191.0000      3246.900     0.6031795      1.670873  0.0004961704  1.239497E-16  7.272677E-18      17.04320      73.13543      6.631222      3245.757     0.3393908      13.40657     0.9210907  2.773940E-18
 15      729.0000      257.7520      29.00000      191.0000      3246.898     0.5137840      1.670871  0.0004226344  1.301564E-16  7.037387E-18      18.49499      76.79769      6.739787      3245.791     0.3303894      13.42811     0.8810800  2.891256E-18
 16      729.0000      257.7520      31.00000      191.0000      3246.886     0.4213628      1.670861  0.0003466095  1.311163E-16  7.411862E-18      17.69006      77.36433      6.908407      3245.792     0.4358882      13.21218     0.8597391  2.779768E-18
 17      729.0000      257.7520      33.00000      191.0000      3246.761     0.4431974      1.670758  0.0003645704  1.322137E-16  8.252148E-18      16.02173      78.01483      7.265903      3245.816     0.3969038      13.27233     0.9142818  2.825455E-18
 18      729.0000      257.7520      35.00000      191.0000      3246.919     0.5849472      1.670888  0.0004811727  1.381976E-16  7.818885E-18      17.67485      81.54179      7.283953      3245.758     0.3681062      13.34468     0.8458301  3.014507E-18
 19      729.0000      257.7520      37.00000      191.0000      3246.735     0.5075655      1.670737  0.0004175191  1.452172E-16  7.880775E-18      18.42677      85.68847      7.530625      3245.707     0.3115967      13.32001     0.7034273  3.276842E-18
 20      729.0000      257.7520      39.00000      191.0000      3246.723     0.4999100      1.670727  0.0004112218  1.477491E-16  8.389386E-18      17.61143      87.18278      7.799114      3245.700     0.3354214      13.15710     0.7445613  3.432010E-18
 21      729.0000      257.7520      41.00000      191.0000      3246.579     0.4204061      1.670609  0.0003458226  1.489196E-16  8.188755E-18      18.18587      87.87737      7.762163      3245.741     0.3280757      13.11302     0.7100440  3.398927E-18
 22      729.0000      257.7520      43.00000      191.0000      3246.670     0.4190523      1.670683  0.0003447089  1.549395E-16  8.315437E-18      18.63276      91.42717      8.001208      3245.735     0.3284211      13.21033     0.7183764  3.558067E-18
 23      729.0000      257.7520      45.00000      191.0000      3246.627     0.4017529      1.670648  0.0003304786  1.550388E-16  9.108064E-18      17.02214      91.48694      8.299461      3245.643     0.3309686      13.24056     0.8513113  3.463895E-18
 24      729.0000      257.7520      47.00000      191.0000      3246.521     0.5016878      1.670561  0.0004126842  1.580128E-16  8.536460E-18      18.51034      93.24493      8.180626      3245.802     0.3236031      13.50908     0.8262926  3.562580E-18
 25      729.0000      257.7520      49.00000      191.0000      3246.653     0.4485991      1.670670  0.0003690138  1.677403E-16  8.760358E-18      19.14765      98.98120      8.575434      3245.719     0.3436047      13.41484     0.7006267  3.953010E-18
 26      729.0000      257.7520      51.00000      191.0000      3246.665     0.4117309      1.670680  0.0003386864  1.619529E-16  9.315488E-18      17.38534      95.56577      8.593996      3245.761     0.3494326      13.47454     0.9011822  3.797071E-18
 27      729.0000      257.7520      53.00000      191.0000      3246.534     0.3697909      1.670572  0.0003041869  1.676758E-16  9.279954E-18      18.06860      98.94676      8.761942      3245.679     0.3313042      13.39950     0.7662460  4.182572E-18
 28      729.0000      257.7520      55.00000      191.0000      3246.493     0.3874615      1.670538  0.0003187226  1.671307E-16  8.185105E-18      20.41888      98.62634      8.355300      3245.680     0.2437313      13.32786     0.6511804  4.236402E-18
 29      729.0000      257.7520      57.00000      191.0000      3246.535     0.4581721      1.670572  0.0003768886  1.718700E-16  9.400418E-18      18.28323      101.4218      8.940075      3245.754     0.3140200      13.39354     0.7254381  4.596747E-18
 30      729.0000      257.7520      59.00000      191.0000      3246.552     0.4525875      1.670587  0.0003722947  1.646486E-16  9.030274E-18      18.23296      97.15986      8.573497      3245.744     0.3220583      13.26121     0.6123815  4.419386E-18
 31      729.0000      257.7520      61.00000      191.0000      3246.481     0.5167299      1.670528  0.0004250577  1.620269E-16  9.675779E-18      16.74562      95.61488      8.734291      3245.799     0.3080028      13.18274     0.6644325  4.325969E-18
 32      729.0000      257.7520      63.00000      191.0000      3246.538     0.3366059      1.670575  0.0002768892  1.790299E-16  8.793984E-18      20.35823      105.6468      8.958972      3245.775     0.2634422      13.16910     0.5366150  5.239856E-18
 33      729.0000      257.7520      65.00000      191.0000      3246.751     0.7623046      1.670750  0.0006270654  1.427607E-16  1.256079E-17      11.36559      84.23853      9.425606      3245.896     0.4906214      12.84187      1.098886  4.365574E-18
 34      729.0000      257.7520      67.00000      191.0000      3246.528     0.4564359      1.670567  0.0003754604  1.703868E-16  9.741374E-18      17.49105      100.5467      9.019604      3245.827     0.3409376      13.01949     0.6788743  4.925454E-18
 35      729.0000      257.7520      69.00000      191.0000      3246.684     0.5071381      1.670695  0.0004171676  1.668974E-16  9.640911E-18      17.31137      98.48287      8.871824      3245.815     0.2779047      13.06395     0.6726789  4.704931E-18
 36      729.0000      257.7520      71.00000      191.0000      3246.600     0.5966083      1.670626  0.0004907650  1.624089E-16  1.209951E-17      13.42277      95.83678      9.739930      3245.835     0.4285426      12.94563     0.8394937  4.647434E-18
 37      729.0000      257.7520      73.00000      191.0000      3246.627     0.4118428      1.670648  0.0003387785  1.655821E-16  9.411021E-18      17.59449      97.70847      8.744101      3245.878     0.2971803      12.99757     0.6148958  4.966306E-18
