 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------- ------------- -------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      729.0000      257.7520      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.038327E-19  5.075378E-19      0.2045812      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.767645E-19
  2      729.0000      257.7520      3.000000      0.000000      0.000000      0.000000      0.000000      0.000000   2.683835E-19  7.752753E-19      0.3461783      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.973079E-19
  3      729.0000      257.7520      5.000000      0.000000      0.000000      0.000000      0.000000      0.000000   3.826789E-19  9.803144E-19      0.3903634      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  3.486560E-19
  4      729.0000      257.7520      7.000000      0.000000      0.000000      0.000000      0.000000      0.000000   4.110923E-19  1.033823E-18      0.3976430      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  4.149600E-19
  5      729.0000      257.7520      9.000000      0.000000      0.000000      0.000000      0.000000      0.000000   4.280853E-19  1.188881E-18      0.3600743      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  4.420482E-19
  6      729.0000      257.7520      11.00000      0.000000      0.000000      0.000000      0.000000      0.000000   5.946476E-19  1.281501E-18      0.4640244      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  4.865900E-19
  7      729.0000      257.7520      13.00000      0.000000      0.000000      0.000000      0.000000      0.000000   5.698702E-19  1.384932E-18      0.4114789      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.487770E-19
  8      729.0000      257.7520      15.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.935499E-19  1.483202E-18      0.3327598      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.638735E-19
  9      729.0000      257.7520      17.00000      0.000000      0.000000      0.000000      0.000000      0.000000   6.695081E-19  1.446729E-18      0.4627738      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.814396E-19
 10      729.0000      257.7520      19.00000      0.000000      0.000000      0.000000      0.000000      0.000000   7.647654E-19  1.708094E-18      0.4477303      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.223368E-19
 11      729.0000      257.7520      21.00000      0.000000      0.000000      0.000000      0.000000      0.000000   1.102453E-18  1.842554E-18      0.5983285      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.210251E-19
 12      729.0000      257.7520      23.00000      0.000000      0.000000      0.000000      0.000000      0.000000   1.507728E-18  1.779940E-18      0.8470670      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.231600E-19
 13      729.0000      257.7520      25.00000      0.000000      0.000000      0.000000      0.000000      0.000000   1.183748E-18  2.182479E-18      0.5423868      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.056990E-19
 14      729.0000      257.7520      27.00000      0.000000      0.000000      0.000000      0.000000      0.000000   8.275178E-19  2.148484E-18      0.3851636      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.842076E-19
 15      729.0000      257.7520      29.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.818882E-19  2.052007E-18      0.2348375      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.236290E-19
 16      729.0000      257.7520      31.00000      0.000000      0.000000      0.000000      0.000000      0.000000   6.588844E-19  2.146080E-18      0.3070176      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.599725E-19
 17      729.0000      257.7520      33.00000      0.000000      0.000000      0.000000      0.000000      0.000000   7.513983E-19  2.361595E-18      0.3181741      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.983482E-19
 18      729.0000      257.7520      35.00000      0.000000      0.000000      0.000000      0.000000      0.000000   1.113791E-18  2.198972E-18      0.5065051      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.026159E-19
