 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      714.0000      187.1910      1.000000      174.0000      3249.500     0.9242091      1.673011  0.0007602467  1.147750E-17  1.221366E-18      9.397265      6.766777     0.8586710      3248.886     0.4957834      12.19640     0.9853553  5.635673E-19
  2      714.0000      187.1910      3.000000      174.0000      3249.479     0.9682413      1.672995  0.0007964672  1.873848E-17  2.237607E-18      8.374339      11.04769      1.524332      3248.678     0.5980901      11.49676      1.547112  8.434590E-19
  3      714.0000      187.1910      5.000000      173.0000      3249.311     0.6192266      1.672856  0.0005093706  3.389345E-17  2.323255E-18      14.58878      19.98369      1.945407      3248.751     0.3283866      12.49927     0.9790654  1.031297E-18
  4      714.0000      187.1910      7.000000      173.0000      3249.130     0.6454592      1.672707  0.0005309493  4.369818E-17  2.851080E-18      15.32689      25.76603      2.449173      3248.658     0.3043999      12.31298      1.054105  1.063446E-18
  5      714.0000      187.1910      9.000000      173.0000      3248.906     0.5526245      1.672523  0.0004545843  4.677889E-17  2.799887E-18      16.70742      27.58442      2.522264      3248.314     0.3048860      11.67929     0.7104035  1.151357E-18
  6      714.0000      187.1910      11.00000      173.0000      3248.833     0.7024807      1.672463  0.0005778547  5.928014E-17  3.790558E-18      15.63890      34.95691      3.291739      3248.424     0.3121057      11.80226     0.7285467  1.230779E-18
  7      714.0000      187.1910      13.00000      173.0000      3248.914     0.5264885      1.672529  0.0004330850  7.598674E-17  3.898309E-18      19.49223      44.80751      3.857192      3248.415     0.2903180      12.35639     0.7510844  1.370993E-18
  8      714.0000      187.1910      15.00000      173.0000      3248.971     0.3909540      1.672576  0.0003215955  8.905894E-17  3.942829E-18      22.58757      52.51494      4.310854      3248.350     0.2218387      12.17329     0.5827006  1.526597E-18
  9      714.0000      187.1910      17.00000      173.0000      3248.803     0.4032719      1.672439  0.0003317281  9.816485E-17  4.056955E-18      24.19668      57.88735      4.662159      3248.310     0.1872113      12.12767     0.4970868  1.643434E-18
