 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------- ------------- -------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      714.0000      187.1910      1.000000      0.000000      0.000000      0.000000      0.000000      0.000000   4.556342E-19  3.902577E-19       1.167521      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.620446E-19
  2      714.0000      187.1910      3.000000      0.000000      0.000000      0.000000      0.000000      0.000000   6.990631E-19  7.012669E-19      0.9968574      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.076784E-19
  3      714.0000      187.1910      5.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.194275E-18  7.120836E-19       1.677156      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.714881E-19
  4      714.0000      187.1910      7.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.182221E-18  9.161073E-19       1.290484      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  3.381574E-19
  5      714.0000      187.1910      9.000000      0.000000      0.000000      0.000000      0.000000      0.000000   1.221511E-18  8.743754E-19       1.397010      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  4.044205E-19
  6      714.0000      187.1910      11.00000      0.000000      0.000000      0.000000      0.000000      0.000000   1.374495E-18  1.187182E-18       1.157779      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  4.406073E-19
  7      714.0000      187.1910      13.00000      0.000000      0.000000      0.000000      0.000000      0.000000   1.623127E-18  1.199893E-18       1.352726      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  4.655518E-19
  8      714.0000      187.1910      15.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.061252E-18  1.244141E-18       1.656768      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.176736E-19
  9      714.0000      187.1910      17.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.187317E-18  1.253932E-18       1.744366      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.294875E-19
 10      714.0000      187.1910      19.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.226078E-18  1.563074E-18       1.424167      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.409753E-19
 11      714.0000      187.1910      21.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.381055E-18  1.495331E-18       1.592327      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.609536E-19
 12      714.0000      187.1910      23.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.647623E-18  1.487620E-18       1.779771      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.185369E-19
 13      714.0000      187.1910      25.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.937718E-18  1.634071E-18       1.797791      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.839825E-19
 14      714.0000      187.1910      27.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.089975E-18  1.616844E-18       1.911115      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.266344E-19
 15      714.0000      187.1910      29.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.230589E-18  1.833185E-18       1.762282      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.473201E-19
 16      714.0000      187.1910      31.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.100467E-18  1.839391E-18       1.685594      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.639670E-19
 17      714.0000      187.1910      33.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.953733E-18  1.806193E-18       1.635336      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.673039E-19
 18      714.0000      187.1910      35.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.283224E-18  1.945289E-18       1.687782      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.920286E-19
 19      714.0000      187.1910      37.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.961558E-18  2.036675E-18       1.454114      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.250743E-19
