AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
-- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------- ------------- -------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
 1      714.0000      117.1910      5.000000      711.0000      4381.057      8.302912      1.670611   0.005061300   1.332373E-20  3.420001E-19     0.03895827      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.465547E-19
 2      714.0000      122.1910      5.000000      712.0000      4383.409      5.559888      1.672045   0.003389204  -1.237199E-19  3.933197E-19     -0.3145530      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.882493E-19
 3      714.0000      127.1910      5.000000      714.0000      4387.168      11.18329      1.674336   0.006817127  -4.261113E-20  3.439714E-19     -0.1238799      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.492670E-19
 4      714.0000      132.1910      5.000000      710.0000      4379.191      6.021663      1.669474   0.003670694  -3.329415E-19  4.206233E-19     -0.7915431      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.241281E-19
 5      714.0000      137.1910      5.000000      709.0000      4376.963      5.606722      1.668115   0.003417753  -8.804121E-20  3.589944E-19     -0.2452439      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.570247E-19
 6      714.0000      142.1910      5.000000      710.0000      4378.649      6.753524      1.669143   0.004116822   1.454606E-19  2.838243E-19      0.5125025      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.340259E-19
 7      714.0000      147.1910      5.000000      712.0000      4382.993      5.499682      1.671791   0.003352504  -2.422169E-19  3.640008E-19     -0.6654296      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.530041E-19
 8      714.0000      152.1910      5.000000      710.0000      4379.625      6.387215      1.669738   0.003893528   1.710835E-20  3.504274E-19     0.04882137      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.486540E-19
 9      714.0000      157.1910      5.000000      710.0000      4378.418      7.233912      1.669003   0.004409659  -8.712559E-20  3.614912E-19     -0.2410172      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.493807E-19
10      714.0000      162.1910      5.000000      710.0000      4379.373      5.892849      1.669584   0.003592171   2.633684E-19  3.509710E-19      0.7503992      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.445727E-19
11      714.0000      167.1910      5.000000      711.0000      4380.392      9.205892      1.670205   0.005611741   8.540944E-20  3.262637E-19      0.2617804      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.385301E-19
12      714.0000      172.1910      5.000000      710.0000      4378.358      2.789946      1.668966   0.001700699   7.688604E-19  3.753836E-19       2.048199     0.4539833     0.2238606      4379.885      2.878184      10.53067      6.870142  1.462394E-19
13      714.0000      177.1910      5.000000      711.0000      4379.968      1.693444      1.669947   0.001032292   1.069848E-18  3.540032E-19       3.022143     0.6314732     0.2134597      4378.649     0.8583131      8.349397      1.910933  1.543354E-19
14      714.0000      182.1910      5.000000      711.0000      4380.033     0.9036555      1.669987  0.0005508516   1.920060E-18  3.259168E-19       5.891257      1.133290     0.2077081      4378.676     0.5961056      9.492483      1.169809  1.737426E-19
15      714.0000      187.1910      5.000000      711.0000      4381.106      1.112503      1.670641  0.0006781614   2.833391E-18  3.309344E-19       8.561789      1.671962     0.2269206      4380.388     0.4246177      9.511668     0.9363947  1.484194E-19
16      714.0000      192.1910      5.000000      712.0000      4382.072     0.9441695      1.671230  0.0005755482   2.936188E-18  3.531691E-19       8.313832      1.732240     0.2403141      4382.514     0.3970688      9.599030      1.080301  1.226658E-19
17      714.0000      197.1910      5.000000      712.0000      4383.678     0.9468544      1.672209  0.0005771848   3.209977E-18  3.686511E-19       8.707358      1.893072     0.2537557      4383.718     0.4480469      9.091454     0.9621581  1.387851E-19
18      714.0000      202.1910      5.000000      713.0000      4384.331      1.013593      1.672606  0.0006178675   3.046005E-18  3.782670E-19       8.052528      1.796102     0.2552758      4384.547     0.3637682      8.953067     0.9383843  1.447399E-19
19      714.0000      207.1910      5.000000      712.0000      4383.590     0.9086956      1.672155  0.0005539240   2.032688E-18  3.624941E-19       5.607505      1.198794     0.2292828      4385.342     0.5722933      8.071704      1.215716  1.474909E-19
20      714.0000      212.1910      5.000000      712.0000      4384.172      1.477059      1.672510  0.0009003876   1.161746E-18  3.669213E-19       3.166199     0.6850578     0.2214877      4385.658      1.083148      8.462663      1.623062  1.944373E-19
21      714.0000      217.1910      5.000000      713.0000      4384.922      3.921971      1.672967   0.002390761   5.464530E-19  3.239783E-19       1.686696      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.672932E-19
22      714.0000      222.1910      5.000000      712.0000      4383.191      10.04096      1.671912   0.006120783  -2.382548E-20  3.536427E-19    -0.06737161      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.503546E-19
23      714.0000      227.1910      5.000000      710.0000      4379.409      4.145113      1.669606   0.002526784  -3.396448E-19  3.519804E-19     -0.9649537      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.376290E-19
24      714.0000      232.1910      5.000000      710.0000      4378.811      5.266387      1.669242   0.003210292  -1.467302E-19  3.598189E-19     -0.4077890      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.331865E-19
25      714.0000      237.1910      5.000000      712.0000      4383.677      5.403951      1.672208   0.003294148  -9.151557E-20  3.508582E-19     -0.2608335      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.158426E-19
26      714.0000      242.1910      5.000000      712.0000      4383.883      9.160480      1.672333   0.005584058   3.691342E-20  3.539787E-19      0.1042815      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.597595E-19
27      714.0000      247.1910      5.000000      712.0000      4382.429      5.859000      1.671447   0.003571537  -9.926340E-20  3.733640E-19     -0.2658622      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.467780E-19
28      714.0000      252.1910      5.000000      712.0000      4383.911      8.115297      1.672351   0.004946935   2.067889E-19  2.946650E-19      0.7017763      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.274349E-19
29      714.0000      257.1910      5.000000      711.0000      4381.521      6.223748      1.670893   0.003793881   1.546388E-20  4.053195E-19     0.03815233      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.591587E-19
