 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      729.0000      257.7520      1.000000      729.0000      4379.188      1.730465      1.669471   0.001054859  1.087058E-18  2.477604E-19      4.387538     0.6417456     0.1528449      4378.506      1.259218      11.40499      2.489439  1.112472E-19
  2      729.0000      257.7520      3.000000      729.0000      4379.480      1.281795      1.669650  0.0007813583  2.374187E-18  3.892997E-19      6.098609      1.401509     0.2493946      4379.183     0.8073592      12.17106      1.785805  1.637995E-19
  3      729.0000      257.7520      5.000000      729.0000      4379.627     0.9628940      1.669739  0.0005869623  3.697888E-18  4.935242E-19      7.492820      2.182832     0.3280813      4379.444     0.6401654      12.31217      1.309540  1.797290E-19
  4      729.0000      257.7520      7.000000      729.0000      4379.667     0.8067720      1.669764  0.0004917932  4.811116E-18  5.165806E-19      9.313389      2.839936     0.3626594      4379.455     0.5557273      12.05717      1.263101  1.901346E-19
  5      729.0000      257.7520      9.000000      729.0000      4379.542     0.9079460      1.669687  0.0005534670  5.784888E-18  6.075180E-19      9.522167      3.414838     0.4293369      4379.309     0.5072531      11.91292      1.037604  2.309152E-19
  6      729.0000      257.7520      11.00000      729.0000      4379.921     0.7069290      1.669918  0.0004309308  7.011750E-18  6.849607E-19      10.23672      4.138699     0.4952850      4379.448     0.5198907      12.13171      1.173298  2.702217E-19
  7      729.0000      257.7520      13.00000      729.0000      4379.936     0.7664070      1.669927  0.0004671875  8.177922E-18  7.317697E-19      11.17554      4.827018     0.5458015      4379.392     0.5135509      12.62358      1.149794  2.970069E-19
  8      729.0000      257.7520      15.00000      729.0000      4380.058     0.7805265      1.670002  0.0004757944  8.986769E-18  7.853618E-19      11.44284      5.304292     0.5910327      4379.460     0.4610322      12.52495     0.9990351  3.168288E-19
  9      729.0000      257.7520      17.00000      729.0000      4380.006     0.7748913      1.669970  0.0004723593  9.889170E-18  7.828164E-19      12.63281      5.836989     0.6134280      4379.446     0.4188264      12.54278     0.8478016  3.593926E-19
 10      729.0000      257.7520      19.00000      729.0000      4380.102     0.6701301      1.670029  0.0004084989  1.061968E-17  9.097264E-19      11.67349      6.268029     0.6899616      4379.488     0.4899355      12.55941      1.041306  3.813100E-19
 11      729.0000      257.7520      21.00000      729.0000      4380.198     0.6091097      1.670087  0.0003713020  1.131717E-17  9.946435E-19      11.37811      6.679558     0.7468794      4379.510     0.4944637      12.49279      1.088834  4.057144E-19
 12      729.0000      257.7520      23.00000      729.0000      4380.006     0.7599049      1.669971  0.0004632239  1.181989E-17  9.819204E-19      12.03752      6.976576     0.7539760      4379.600     0.4052899      12.49864     0.8432005  4.386095E-19
 13      729.0000      257.7520      25.00000      729.0000      4380.185     0.7696571      1.670079  0.0004691686  1.287448E-17  1.174049E-18      10.96588      7.598732     0.8695291      4379.755     0.5065126      12.79496     0.9635041  4.305061E-19
 14      729.0000      257.7520      27.00000      729.0000      4380.201     0.6758479      1.670089  0.0004119843  1.318787E-17  1.161010E-18      11.35896      7.783670     0.8712433      4379.611     0.4230483      12.81024     0.9932079  4.390811E-19
 15      729.0000      257.7520      29.00000      729.0000      4380.270     0.5786687      1.670131  0.0003527456  1.350566E-17  1.117245E-18      12.08837      7.971109     0.8593185      4379.714     0.4654741      12.93536     0.9719301  4.436350E-19
 16      729.0000      257.7520      31.00000      729.0000      4380.220     0.6918535      1.670101  0.0004217410  1.356824E-17  1.179732E-18      11.50112      8.008135     0.8895305      4379.717     0.4729985      12.67371     0.9253396  4.758444E-19
 17      729.0000      257.7520      33.00000      729.0000      4380.078     0.7777036      1.670014  0.0004740737  1.400639E-17  1.311019E-18      10.68359      8.267003     0.9619498      4379.641     0.5170760      12.45253      1.251971  5.113736E-19
 18      729.0000      257.7520      35.00000      729.0000      4380.272     0.6346912      1.670133  0.0003868960  1.421604E-17  1.240344E-18      11.46137      8.390372     0.9339711      4379.755     0.5031831      12.36586      1.080744  5.070298E-19
 19      729.0000      257.7520      37.00000      729.0000      4380.372     0.6487712      1.670193  0.0003954789  1.446310E-17  1.234664E-18      11.71420      8.535997     0.9376348      4379.792     0.4662584      12.36002     0.9955529  4.984477E-19
 20      729.0000      257.7520      39.00000      729.0000      4380.320     0.6348695      1.670161  0.0003870047  1.451089E-17  1.307395E-18      11.09909      8.564303     0.9725670      4379.797     0.4574879      12.30475     0.8609526  5.127170E-19
 21      729.0000      257.7520      41.00000      729.0000      4380.149     0.7086000      1.670058  0.0004319494  1.467307E-17  1.281665E-18      11.44844      8.660358     0.9646931      4379.760     0.4802636      12.51304     0.9359993  5.355646E-19
 22      729.0000      257.7520      43.00000      729.0000      4380.221     0.6134888      1.670101  0.0003739714  1.479361E-17  1.305058E-18      11.33560      8.731357     0.9785668      4379.740     0.4467570      12.32173     0.9346784  5.522359E-19
 23      729.0000      257.7520      45.00000      729.0000      4380.297     0.6668699      1.670148  0.0004065115  1.484915E-17  1.432483E-18      10.36602      8.763989      1.040102      4379.719     0.5566594      12.41721      1.148618  5.865084E-19
 24      729.0000      257.7520      47.00000      729.0000      4380.199     0.6198649      1.670088  0.0003778581  1.490655E-17  1.340824E-18      11.11745      8.798059     0.9980743      4379.791     0.4338156      12.10040     0.8135549  6.097193E-19
 25      729.0000      257.7520      49.00000      729.0000      4380.391     0.6009278      1.670205  0.0003663144  1.521533E-17  1.363676E-18      11.15759      8.979918      1.016402      4379.937     0.4505167      12.38160     0.9636515  6.242584E-19
 26      729.0000      257.7520      51.00000      729.0000      4380.338     0.6667156      1.670172  0.0004064174  1.522806E-17  1.442946E-18      10.55345      8.987538      1.054154      4379.922     0.4283652      12.24208     0.9963822  6.187063E-19
 27      729.0000      257.7520      53.00000      729.0000      4380.501     0.6728516      1.670272  0.0004101578  1.536767E-17  1.426250E-18      10.77488      9.069597      1.049563      4379.970     0.5397733      12.46246      1.009498  6.471606E-19
 28      729.0000      257.7520      55.00000      729.0000      4380.431     0.4858276      1.670229  0.0002961514  1.539402E-17  1.253572E-18      12.28013      9.085295     0.9704557      4379.947     0.4148058      12.24375     0.8693147  6.654720E-19
 29      729.0000      257.7520      57.00000      729.0000      4380.631     0.5570537      1.670352  0.0003395696  1.561754E-17  1.419066E-18      11.00550      9.216788      1.052275      4380.052     0.4816879      12.42760      1.002715  6.838390E-19
 30      729.0000      257.7520      59.00000      729.0000      4380.557     0.6777651      1.670306  0.0004131530  1.542382E-17  1.356393E-18      11.37120      9.102620      1.018198      4380.011     0.4630049      12.27020     0.9052373  6.734916E-19
 31      729.0000      257.7520      61.00000      729.0000      4380.422     0.8344762      1.670224  0.0005086812  1.493053E-17  1.444130E-18      10.33877      8.811767      1.047594      4379.929     0.5015107      12.17660      1.088592  6.792659E-19
 32      729.0000      257.7520      63.00000      729.0000      4380.664     0.5573431      1.670371  0.0003397460  1.538061E-17  1.301399E-18      11.81852      9.076897     0.9917440      4380.146     0.4329594      12.09197     0.7757743  7.609288E-19
 33      729.0000      257.7520      65.00000      729.0000      4380.187     0.8802248      1.670081  0.0005365686  1.452035E-17  1.849946E-18      7.849065      8.570143      1.242232      4379.691     0.7852457      11.53701      2.075191  7.692999E-19
 34      729.0000      257.7520      67.00000      729.0000      4380.500     0.5788341      1.670272  0.0003528465  1.493229E-17  1.454916E-18      10.26333      8.812645      1.052802      4380.016     0.4137483      11.77088     0.9840713  7.647474E-19
 35      729.0000      257.7520      69.00000      729.0000      4380.260     0.6510947      1.670125  0.0003968953  1.488516E-17  1.444491E-18      10.30477      8.785315      1.046731      4380.026     0.3997784      11.67705     0.9221483  7.630188E-19
 36      729.0000      257.7520      71.00000      729.0000      4380.474      1.017613      1.670256  0.0006203177  1.505871E-17  1.785181E-18      8.435398      8.887311      1.219606      4379.859     0.6120314      12.25401      1.538291  7.571096E-19
 37      729.0000      257.7520      73.00000      729.0000      4380.452     0.7350559      1.670242  0.0004480764  1.505322E-17  1.413232E-18      10.65163      8.884114      1.035765      4380.018     0.4592165      11.90305     0.9017433  7.977171E-19
 38      729.0000      257.7520      75.00000      729.0000      4380.083     0.7336742      1.670017  0.0004472342  1.490240E-17  1.440527E-18      10.34510      8.795843      1.045278      4379.815     0.4499404      11.67368      1.097458  7.759739E-19
 39      729.0000      257.7520      77.00000      729.0000      4380.292     0.6719450      1.670145  0.0004096052  1.491210E-17  1.399165E-18      10.65785      8.801148      1.025704      4379.900     0.4383486      11.80479     0.9959055  7.848527E-19
 40      729.0000      257.7520      79.00000      729.0000      4379.587     0.5918677      1.669715  0.0003607915  1.407259E-17  1.189105E-18      11.83460      8.307005     0.9068857      4379.464     0.2674812      11.01870      1.117813  8.885081E-19
 41      729.0000      257.7520      81.00000      729.0000      4380.185     0.7908024      1.670079  0.0004820584  1.484849E-17  1.558297E-18      9.528664      8.763819      1.101323      4379.887     0.4654099      11.88776      1.081462  7.699875E-19
 42      729.0000      257.7520      83.00000      729.0000      4380.073     0.7457841      1.670011  0.0004546161  1.472686E-17  1.598003E-18      9.215791      8.692257      1.118323      4379.875     0.5130715      12.27002      1.304424  7.842113E-19
 43      729.0000      257.7520      85.00000      729.0000      4379.972     0.8012795      1.669950  0.0004884451  1.463618E-17  1.674331E-18      8.741512      8.638933      1.154681      4379.735     0.5569957      12.17076      1.372917  7.910484E-19
 44      729.0000      257.7520      87.00000      729.0000      4379.941      1.040187      1.669931  0.0006340786  1.514851E-17  1.788413E-18      8.470363      8.941397      1.223250      4379.778     0.5952470      12.24952      1.759140  8.050211E-19
 45      729.0000      257.7520      89.00000      729.0000      4380.186     0.7017509      1.670080  0.0004277743  1.513730E-17  1.526108E-18      9.918886      8.934278      1.092128      4379.976     0.4969090      12.08833      1.019018  8.245220E-19
 46      729.0000      257.7520      91.00000      729.0000      4380.085     0.6742802      1.670018  0.0004110287  1.493364E-17  1.534847E-18      9.729726      8.814279      1.091752      4379.953     0.4465303      12.06966     0.9955585  8.486984E-19
 47      729.0000      257.7520      93.00000      729.0000      4379.762     0.7035962      1.669821  0.0004288992  1.494749E-17  1.551729E-18      9.632793      8.823104      1.100428      4379.804     0.4536488      11.65348      1.187820  8.408544E-19
 48      729.0000      257.7520      95.00000      729.0000      4379.942     0.9183508      1.669931  0.0005598096  1.490760E-17  1.720448E-18      8.664952      8.799198      1.183723      4379.717     0.6107380      11.86512      1.455488  8.732602E-19
 49      729.0000      257.7520      97.00000      729.0000      4380.058     0.7462431      1.670002  0.0004548959  1.556620E-17  1.657423E-18      9.391809      9.187693      1.166350      4380.052     0.5006883      12.22998      1.106000  9.727246E-19
 50      729.0000      257.7520      99.00000      729.0000      4379.894     0.9098741      1.669902  0.0005546423  1.483763E-17  1.632761E-18      9.087445      8.757995      1.138124      4379.816     0.5420372      11.82521      1.119935  9.434593E-19
 51      729.0000      257.7520      101.0000      729.0000      4379.919     0.8632923      1.669918  0.0005262469  1.521469E-17  1.694168E-18      8.980625      8.980504      1.177010      4379.963     0.4577257      12.03828      1.132015  1.011343E-18
 52      729.0000      257.7520      103.0000      729.0000      4380.155     0.6684992      1.670061  0.0004075047  1.481905E-17  1.758613E-18      8.426554      8.746506      1.201224      4379.732     0.5767948      12.03878      1.302756  1.013906E-18
 53      729.0000      257.7520      105.0000      729.0000      4379.889     0.8293018      1.669899  0.0005055270  1.481170E-17  1.809075E-18      8.187445      8.742701      1.226978      4379.764     0.5346417      11.74187      1.138550  1.004091E-18
 54      729.0000      257.7520      107.0000      729.0000      4380.072     0.6278576      1.670011  0.0003827303  1.488272E-17  1.701169E-18      8.748525      8.784251      1.173415      4379.907     0.4341167      11.99517      1.064060  1.019406E-18
 55      729.0000      257.7520      109.0000      729.0000      4380.072     0.6550980      1.670010  0.0003993355  1.474487E-17  1.618676E-18      9.109216      8.702891      1.129026      4379.750     0.4736385      11.83313     0.9696087  1.006355E-18
 56      729.0000      257.7520      111.0000      729.0000      4379.359      1.254468      1.669576  0.0007647002  1.421840E-17  2.049782E-18      6.936543      8.393517      1.341958      4379.352     0.7000867      11.31900      1.818815  1.081550E-18
 57      729.0000      257.7520      113.0000      729.0000      4380.071     0.5945887      1.670010  0.0003624502  1.478951E-17  1.672046E-18      8.845157      8.729236      1.156752      4379.858     0.4664106      11.92324     0.9146286  1.095340E-18
 58      729.0000      257.7520      115.0000      729.0000      4379.203     0.7763340      1.669481  0.0004732388  1.406342E-17  1.548244E-18      9.083462      8.302322      1.079247      4379.413     0.4131252      11.17946      1.143735  1.076172E-18
 59      729.0000      257.7520      117.0000      729.0000      4380.808     0.8188150      1.670459  0.0004991344  1.622401E-17  2.264991E-18      7.162945      9.574315      1.491525      4380.315     0.6509266      12.52353      1.317291  1.441398E-18
 60      729.0000      257.7520      119.0000      729.0000      4379.260      1.004233      1.669516  0.0006121619  1.406278E-17  2.129417E-18      6.604051      8.301837      1.381879      4379.232     0.7137632      11.17430      1.920149  1.112442E-18
 61      729.0000      257.7520      121.0000      729.0000      4379.982     0.7619489      1.669955  0.0004644699  1.493661E-17  1.901968E-18      7.853241      8.816242      1.277379      4379.671     0.6240867      11.93047      1.361816  1.107230E-18
 62      729.0000      257.7520      123.0000      729.0000      4380.073      1.039789      1.670011  0.0006338360  1.528777E-17  2.278943E-18      6.708274      9.023325      1.482689      4379.732     0.9648176      12.22187      2.325113  1.140983E-18
 63      729.0000      257.7520      125.0000      729.0000      4379.963     0.6829360      1.669944  0.0004163051  1.554723E-17  1.949319E-18      7.975722      9.176694      1.313861      4379.857     0.5911854      12.10902      1.188926  1.192495E-18
 64      729.0000      257.7520      127.0000      729.0000      4380.529     0.8763738      1.670289  0.0005342212  1.638969E-17  2.298771E-18      7.129762      9.672706      1.512488      4380.093     0.6667765      12.36225      1.210818  1.354094E-18
 65      729.0000      257.7520      129.0000      729.0000      4380.509     0.6325792      1.670277  0.0003856085  1.612616E-17  1.915142E-18      8.420349      9.517220      1.307791      4379.907     0.5123275      12.32370      1.264983  1.274051E-18
 66      729.0000      257.7520      131.0000      729.0000      4380.602     0.3714558      1.670333  0.0002264326  1.631840E-17  1.693146E-18      9.637918      9.630472      1.200682      4380.156     0.4026536      12.30882     0.8314424  1.314617E-18
 67      729.0000      257.7520      133.0000      729.0000      4380.477     0.4663367      1.670257  0.0002842702  1.569310E-17  1.736641E-18      9.036465      9.261706      1.208455      4380.051     0.4488682      12.33857     0.9032366  1.249683E-18
 68      729.0000      257.7520      135.0000      728.0000      4378.374      1.108455      1.668975  0.0006756933  1.328037E-17  2.687444E-18      4.941637      7.841534      1.676858      4378.578     0.9831939      10.48014      3.471086  1.706095E-18
 69      729.0000      257.7520      137.0000      729.0000      4380.373     0.4396974      1.670194  0.0002680313  1.533773E-17  1.750337E-18      8.762726      9.052190      1.207772      4379.889     0.5013521      11.79488     0.9471231  1.217593E-18
 70      729.0000      257.7520      139.0000      729.0000      4380.943     0.4746211      1.670541  0.0002893202  1.665887E-17  1.809159E-18      9.208071      9.830637      1.265539      4380.325     0.4035667      12.35670     0.7855607  1.390033E-18
 71      729.0000      257.7520      141.0000      729.0000      4380.659     0.4774185      1.670368  0.0002910255  1.603040E-17  1.765200E-18      9.081353      9.460382      1.229992      4380.195     0.4717966      12.18276     0.9351937  1.289962E-18
 72      729.0000      257.7520      143.0000      729.0000      4380.689     0.5324567      1.670387  0.0003245757  1.589335E-17  1.802172E-18      8.819000      9.379438      1.245598      4380.271     0.4881925      12.01247     0.9118620  1.301344E-18
 73      729.0000      257.7520      145.0000      729.0000      4380.966     0.6213546      1.670556  0.0003787662  1.635497E-17  2.030928E-18      8.052954      9.651250      1.371654      4380.425     0.4822127      12.03504     0.9171821  1.383104E-18
 74      729.0000      257.7520      147.0000      729.0000      4380.913     0.5223598      1.670523  0.0003184208  1.613348E-17  1.840896E-18      8.763925      9.520660      1.270150      4380.414     0.4473543      11.98612     0.8585571  1.385764E-18
 75      729.0000      257.7520      149.0000      729.0000      4380.737     0.7694852      1.670416  0.0004690639  1.550057E-17  1.981866E-18      7.821200      9.147535      1.329575      4380.350     0.5311176      11.75386      1.005613  1.366937E-18
 76      729.0000      257.7520      151.0000      729.0000      4380.799     0.4247912      1.670454  0.0002589448  1.559545E-17  1.785813E-18      8.732971      9.203400      1.231010      4380.384     0.3859755      11.79638     0.8001975  1.371529E-18
 77      729.0000      257.7520      153.0000      729.0000      4380.994     0.4785658      1.670573  0.0002917248  1.639523E-17  1.926737E-18      8.509326      9.674947      1.319095      4380.666     0.4405747      12.19824     0.8480470  1.453770E-18
 78      729.0000      257.7520      155.0000      729.0000      4380.918     0.3860743      1.670526  0.0002353437  1.600502E-17  1.731535E-18      9.243257      9.444844      1.212582      4380.522     0.3839090      11.91061     0.7474822  1.401963E-18
