 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------- ------------- -------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      729.0000      257.7520      1.000000      223.0000      3310.142      9.799131      1.669469   0.007902525  -8.483307E-19  2.318075E-18     -0.3659634      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.977471E-18
  2      729.0000      257.7520      3.000000      225.0000      3313.978      10.74168      1.672563   0.008662646  -1.065005E-18  4.332765E-18     -0.2458026      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  3.871490E-18
  3      729.0000      257.7520      5.000000      223.0000      3309.515     0.6557593      1.668964  0.0005288381  -9.948492E-19  5.988533E-18     -0.1661257      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  5.475113E-18
  4      729.0000      257.7520      7.000000      224.0000      3311.460      9.391666      1.670532   0.007573924  -1.519322E-18  7.426853E-18     -0.2045714      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.976390E-18
  5      729.0000      257.7520      9.000000      224.0000      3311.719      5.444545      1.670741   0.004390762  -1.829811E-18  9.141224E-18     -0.2001714      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.626877E-18
  6      729.0000      257.7520      11.00000      225.0000      3313.212      6.104506      1.671945   0.004922989  -1.451636E-18  1.054395E-17     -0.1376747      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.991094E-18
  7      729.0000      257.7520      13.00000      224.0000      3311.065      5.759425      1.670214   0.004644698  -8.370976E-19  1.223900E-17    -0.06839594      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.171987E-17
  8      729.0000      257.7520      15.00000      224.0000      3310.712      8.801347      1.669929   0.007097860  -1.026426E-18  1.318745E-17    -0.07783354      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.261269E-17
  9      729.0000      257.7520      17.00000      224.0000      3310.793      7.646893      1.669995   0.006166849  -2.225926E-18  1.420298E-17     -0.1567224      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.372104E-17
 10      729.0000      257.7520      19.00000      222.0000      3308.017      7.035628      1.667755   0.005673894  -1.746896E-18  1.576339E-17     -0.1108198      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.516590E-17
 11      729.0000      257.7520      21.00000      224.0000      3311.407      5.464386      1.670490   0.004406763  -1.069465E-19  1.677906E-17   -0.006373806      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.608530E-17
 12      729.0000      257.7520      23.00000      224.0000      3310.694      3.106368      1.669914   0.002505135   1.418362E-18  1.738299E-17     0.08159484      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.675565E-17
 13      729.0000      257.7520      25.00000      224.0000      3310.553      5.629441      1.669801   0.004539872  -1.227182E-18  1.940421E-17    -0.06324309      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.852059E-17
 14      729.0000      257.7520      27.00000      223.0000      3309.170      5.474488      1.668685   0.004414910  -7.365930E-19  1.976229E-17    -0.03727266      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.890494E-17
 15      729.0000      257.7520      29.00000      223.0000      3310.149      5.472183      1.669475   0.004413051  -8.018339E-19  2.055788E-17    -0.03900373      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.981712E-17
 16      729.0000      257.7520      31.00000      224.0000      3310.988      4.641364      1.670152   0.003743035  -3.368124E-19  2.094403E-17    -0.01608155      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.014530E-17
 17      729.0000      257.7520      33.00000      224.0000      3311.070      4.749377      1.670218   0.003830143  -1.701689E-19  2.160586E-17   -0.007876053      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.064209E-17
 18      729.0000      257.7520      35.00000      225.0000      3312.679      4.468909      1.671515   0.003603959   5.469914E-19  2.231045E-17     0.02451727      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.148017E-17
 19      729.0000      257.7520      37.00000      224.0000      3311.734      3.405380      1.670753   0.002746274   1.390421E-18  2.331327E-17     0.05964075      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.249520E-17
 20      729.0000      257.7520      39.00000      225.0000      3312.741      4.869128      1.671566   0.003926716   1.138086E-18  2.390360E-17     0.04761151      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.298203E-17
 21      729.0000      257.7520      41.00000      225.0000      3313.733      4.700656      1.672365   0.003790851   1.264757E-19  2.411501E-17    0.005244687      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.325050E-17
 22      729.0000      257.7520      43.00000      225.0000      3313.097      4.905505      1.671853   0.003956052  -7.752308E-19  2.488095E-17    -0.03115761      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.401674E-17
 23      729.0000      257.7520      45.00000      225.0000      3312.630      4.974714      1.671476   0.004011866   3.880745E-19  2.519098E-17     0.01540530      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.413183E-17
 24      729.0000      257.7520      47.00000      225.0000      3314.095      3.982791      1.672657   0.003211928   5.759117E-19  2.534835E-17     0.02271989      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.445724E-17
 25      729.0000      257.7520      49.00000      226.0000      3314.274      3.291584      1.672801   0.002654503  -1.824925E-18  2.659053E-17    -0.06863064      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.570749E-17
 26      729.0000      257.7520      51.00000      225.0000      3313.922      3.842227      1.672518   0.003098571   1.406541E-18  2.607801E-17     0.05393589      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.501650E-17
 27      729.0000      257.7520      53.00000      226.0000      3314.882      3.448708      1.673292   0.002781216   1.672837E-18  2.667952E-17     0.06270117      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.566926E-17
 28      729.0000      257.7520      55.00000      226.0000      3315.630      2.465019      1.673895   0.001987918   7.369670E-19  2.646233E-17     0.02784966      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.573761E-17
 29      729.0000      257.7520      57.00000      226.0000      3315.604      3.329839      1.673874   0.002685354  -3.704261E-19  2.723659E-17    -0.01360032      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.626515E-17
 30      729.0000      257.7520      59.00000      226.0000      3315.799      3.658759      1.674031   0.002950612   1.315675E-18  2.650674E-17     0.04963548      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.558602E-17
 31      729.0000      257.7520      61.00000      226.0000      3315.052      4.662915      1.673429   0.003760415   2.809573E-18  2.664566E-17      0.1054421      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.552789E-17
 32      729.0000      257.7520      63.00000      227.0000      3316.609      3.801851      1.674685   0.003066009  -1.820859E-18  2.838369E-17    -0.06415161      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.769418E-17
 33      729.0000      257.7520      65.00000      225.0000      3313.634      5.710474      1.672286   0.004605221   3.208748E-18  2.576328E-17      0.1245473      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.353234E-17
 34      729.0000      257.7520      67.00000      226.0000      3315.718      4.659744      1.673966   0.003757858   4.668288E-19  2.790383E-17     0.01672992      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.688786E-17
 35      729.0000      257.7520      69.00000      226.0000      3315.422      4.612180      1.673727   0.003719500  -6.597523E-20  2.737416E-17   -0.002410128      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.632768E-17
 36      729.0000      257.7520      71.00000      225.0000      3313.866      4.082938      1.672473   0.003292692  -7.622866E-19  2.755386E-17    -0.02766533      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.569442E-17
 37      729.0000      257.7520      73.00000      226.0000      3315.509      4.469698      1.673798   0.003604595  -2.084248E-18  2.726334E-17    -0.07644875      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.632465E-17
 38      729.0000      257.7520      75.00000      226.0000      3314.664      4.685163      1.673116   0.003778358  -9.213971E-19  2.622987E-17    -0.03512778      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  2.514249E-17
