 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
--- ------------- ------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------- ------------- -------------- ------------- ------------- ------------- ------------- ------------- ------------- -------------
  1      2637.000      121.7360      1.000000      3329.000      9958.312      13.53430      1.671873   0.003631330  -5.224784E-20  2.693116E-19     -0.1940051      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.941201E-20
  2      2637.000      122.7360      1.000000      3333.000      9962.295      10.37158      1.672942   0.002782756  -1.699530E-19  2.513373E-19     -0.6761949      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.039224E-19
  3      2637.000      123.7360      1.000000      3331.000      9960.365      9.509282      1.672424   0.002551396  -1.045256E-19  2.844674E-19     -0.3674432      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.838851E-20
  4      2637.000      124.7360      1.000000      3327.000      9955.670      11.08930      1.671164   0.002975323  -1.625683E-19  3.365595E-19     -0.4830300      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.335045E-20
  5      2637.000      125.7360      1.000000      3330.000      9959.393      9.002532      1.672163   0.002415432  -1.088087E-19  2.629308E-19     -0.4138299      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.725586E-20
  6      2637.000      126.7360      1.000000      3329.000      9957.809      9.445763      1.671738   0.002534353  -2.791575E-19  3.101931E-19     -0.8999473      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.354721E-20
  7      2637.000      127.7360      1.000000      3331.000      9960.609      12.72906      1.672490   0.003415281  -1.463683E-19  2.534460E-19     -0.5775125      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.780173E-20
  8      2637.000      128.7360      1.000000      3331.000      9960.619      6.413726      1.672492   0.001720840  -2.286407E-19  2.743134E-19     -0.8335016      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.047203E-20
  9      2637.000      129.7360      1.000000      3333.000      9963.176      6.170185      1.673178   0.001655497  -2.797970E-19  2.368272E-19      -1.181440      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.545189E-20
 10      2637.000      130.7360      1.000000      3330.000      9959.489      9.024570      1.672189   0.002421345  -7.701566E-20  2.570932E-19     -0.2995632      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.781652E-20
 11      2637.000      131.7360      1.000000      3330.000      9959.761      10.45907      1.672262   0.002806230   1.447137E-19  3.047884E-19      0.4748004      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.309761E-20
 12      2637.000      132.7360      1.000000      3330.000      9959.729      10.72906      1.672253   0.002878670   2.598445E-20  2.577810E-19      0.1008005      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.089547E-20
 13      2637.000      133.7360      1.000000      3330.000      9959.693      8.656777      1.672244   0.002322664  -1.522329E-19  2.802693E-19     -0.5431667      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.863671E-20
 14      2637.000      134.7360      1.000000      3328.000      9956.846      11.97323      1.671480   0.003212488  -1.036206E-19  2.985365E-19     -0.3470952      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.982532E-20
 15      2637.000      135.7360      1.000000      3328.000      9957.371      11.31139      1.671621   0.003034912  -1.317031E-19  3.030012E-19     -0.4346619      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  6.937847E-20
 16      2637.000      136.7360      1.000000      3329.000      9958.138      9.736506      1.671826   0.002612361   5.349066E-20  3.154900E-19      0.1695479      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.031619E-20
 17      2637.000      137.7360      1.000000      3330.000      9959.413      9.117611      1.672168   0.002446308  -5.055285E-20  2.752069E-19     -0.1836903      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.316615E-20
 18      2637.000      138.7360      1.000000      3329.000      9958.463      11.61602      1.671914   0.003116646  -1.060810E-19  2.948055E-19     -0.3598338      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.976875E-20
 19      2637.000      139.7360      1.000000      3331.000      9960.722      6.650015      1.672520   0.001784238  -2.048690E-19  2.683434E-19     -0.7634584      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.190304E-20
 20      2637.000      140.7360      1.000000      3331.000      9960.146      6.414829      1.672365   0.001721136  -1.557638E-19  2.954766E-19     -0.5271613      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.104070E-20
 21      2637.000      141.7360      1.000000      3329.000      9958.145      6.922124      1.671828   0.001857246  -2.345514E-19  2.834276E-19     -0.8275531      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.014284E-20
 22      2637.000      142.7360      1.000000      3330.000      9959.374      6.924156      1.672158   0.001857791  -1.375315E-19  2.719541E-19     -0.5057158      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  9.048486E-20
 23      2637.000      143.7360      1.000000      3331.000      9959.968      4.120698      1.672318   0.001105607  -3.011042E-19  3.155939E-19     -0.9540875      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.287992E-20
 24      2637.000      144.7360      1.000000      3329.000      9958.021      7.005787      1.671795   0.001879694  -2.233177E-19  2.956811E-19     -0.7552655      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  7.970302E-20
 25      2637.000      145.7360      1.000000      3332.000      9961.175      6.812839      1.672641   0.001827924  -1.826112E-19  2.728769E-19     -0.6692071      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  8.269438E-20
